time,x,y,force
447,24,247,4.71
448,24,248,9.41
449,24,249,3.14
450,24,247,4.71
451,24,248,10.98
452,24,249,4.71
453,24,247,4.71
454,24,248,10.98
455,24,249,4.71
456,24,247,6.27
457,24,248,12.55
458,24,249,4.71
459,24,247,6.27
460,24,248,12.55
461,24,249,4.71
462,24,247,6.27
463,24,248,14.12
464,24,249,6.27
465,24,247,6.27
466,24,248,14.12
467,24,249,6.27
468,24,247,7.84
469,24,248,14.12
470,24,249,6.27
471,24,247,7.84
472,24,248,15.69
473,24,249,6.27
474,24,247,7.84
475,24,248,15.69
476,24,249,7.84
477,24,247,9.41
478,24,248,17.25
479,24,249,7.84
480,24,247,9.41
481,24,248,18.82
482,24,249,7.84
483,24,247,9.41
484,24,248,18.82
485,24,249,9.41
486,24,247,10.98
487,24,248,20.39
488,24,249,9.41
489,24,247,10.98
490,24,248,20.39
491,24,249,10.98
492,24,250,1.57
493,24,247,10.98
494,24,248,21.96
495,24,249,10.98
496,24,250,1.57
497,24,247,10.98
498,24,248,21.96
499,24,249,10.98
500,24,250,1.57
501,24,247,10.98
502,24,248,23.53
503,24,249,12.55
504,24,250,1.57
505,24,247,12.55
506,24,248,23.53
507,24,249,12.55
508,24,250,3.14
509,24,247,12.55
510,24,248,25.10
511,24,249,14.12
512,24,250,3.14
513,24,247,12.55
514,24,248,25.10
515,24,249,14.12
516,24,250,3.14
517,24,247,14.12
518,24,248,26.67
519,24,249,15.69
520,24,250,3.14
521,24,247,14.12
522,24,248,28.24
523,24,249,17.25
524,24,250,3.14
525,24,247,14.12
526,24,248,28.24
527,24,249,17.25
528,24,250,3.14
529,24,247,15.69
530,24,248,29.80
531,24,249,18.82
532,24,250,4.71
533,24,247,17.25
534,24,248,31.37
535,24,249,21.96
536,24,250,4.71
537,24,247,17.25
538,24,248,32.94
539,24,249,23.53
540,24,250,4.71
541,24,247,15.69
542,24,248,34.51
543,24,249,25.10
544,24,250,6.27
545,24,247,15.69
546,24,248,34.51
547,24,249,26.67
548,24,250,6.27
549,24,247,12.55
550,24,248,32.94
551,24,249,26.67
552,24,250,6.27
553,24,247,10.98
554,24,248,29.80
555,24,249,28.24
556,24,250,6.27
557,24,247,9.41
558,24,248,25.10
559,24,249,28.24
560,24,250,6.27
561,24,251,1.57
562,24,252,1.57
563,24,247,6.27
564,24,248,18.82
565,24,249,28.24
566,24,250,6.27
567,24,251,1.57
568,24,252,3.14
569,24,247,3.14
570,24,248,12.55
571,24,249,28.24
572,24,250,6.27
573,24,251,1.57
574,24,252,3.14
575,24,248,7.84
576,24,249,25.10
577,24,250,6.27
578,24,251,3.14
579,24,252,4.71
580,24,248,4.71
581,24,249,21.96
582,24,250,6.27
583,24,251,3.14
584,24,252,4.71
585,24,248,1.57
586,24,249,17.25
587,24,250,4.71
588,24,251,3.14
589,24,252,6.27
590,24,249,10.98
591,24,250,3.14
592,24,251,3.14
593,24,252,6.27
594,24,249,6.27
595,24,250,3.14
596,24,251,3.14
597,24,252,6.27
598,24,249,3.14
599,24,250,1.57
600,24,251,3.14
601,24,252,6.27
602,24,251,3.14
603,24,252,6.27
604,24,251,1.57
605,24,252,4.71
606,24,251,1.57
607,24,252,4.71
608,24,252,1.57
609,23,2,1.57
610,23,2,1.57
611,23,2,1.57
612,23,2,1.57
613,23,2,1.57
614,23,2,3.14
615,23,2,3.14
616,23,2,3.14
617,23,2,4.71
618,23,2,4.71
619,23,2,6.27
620,23,2,6.27
621,23,2,6.27
622,23,2,7.84
623,23,2,7.84
624,23,2,7.84
625,23,2,9.41
626,23,2,9.41
627,23,2,9.41
628,23,2,9.41
629,23,2,9.41
630,23,2,9.41
631,23,3,1.57
632,23,2,10.98
633,23,3,1.57
634,23,2,10.98
635,23,3,1.57
636,23,2,10.98
637,23,3,1.57
638,23,2,10.98
639,23,3,1.57
640,23,2,10.98
641,23,3,1.57
642,23,2,10.98
643,23,3,1.57
644,23,2,12.55
645,23,3,1.57
646,23,2,12.55
647,23,3,3.14
648,23,2,12.55
649,23,3,3.14
650,23,2,12.55
651,23,3,3.14
652,23,2,12.55
653,23,3,3.14
